Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint.Speed,Positioning,Finishing,Shot.Power,Long.Shots,Volleys,Penalties,Vision,Crossing,Free.Kick.Accuracy,Short.Passing,Long.Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball.Control,Composure,Interceptions,Heading.Accuracy,Def.Awareness,Standing.Tackle,Sliding.Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak.foot,Skill.moves,Preferred.foot,Height,Weight,Alternative.positions,Age,Nation,League,Team,url,GK.Diving,GK.Handling,GK.Kicking,GK.Positioning,GK.Reflexes,gender,name_norm,player_id,name,current_club_name,last_season,market_value_in_eur,highest_market_value_in_eur,statut_match,joueur_probablement_retraite,name_tm,score_matching
Ivi López,73,73,73,71,74,39,65,72,74,74.0,74.0,74,72.0,66.0,75,70,68.0,80.0,72,69,79.0,72.0,79,81,69,76,74,41.0,59.0,36.0,36.0,29.0,71,67,67,58,CAM,3,3,Right,174,70,,30,Spain,PKO BP Ekstraklasa,Raków,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ivi-lopez/222467,,,,,,M,ivi lopez,282371.0,Ivi López,Raków Częstochowa,2025.0,600000,4000000,ok,False,,
Dion Lopy,73,64,60,69,72,70,73,65,64,65.0,57.0,71,58.0,51.0,55,74,61.0,45.0,74,73,60.0,73.0,65,62,71,74,72,71.0,70.0,69.0,71.0,70.0,75,75,74,69,CDM,3,2,Right,186,79,CM,22,Senegal,LALIGA HYPERMOTION,UD Almería,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dion-lopy/259190,,,,,,M,dion lopy,649033.0,Dion Lopy,UD Almería,2025.0,4000000,10000000,ok,False,,
Nahuel Losada,73,74,74,72,69,41,70,41,40,11.0,17.0,54,13.0,13.0,27,15,18.0,13.0,30,19,16.0,19.0,39,54,70,18,48,19.0,20.0,18.0,15.0,14.0,61,33,56,24,GK,2,1,Right,184,86,,31,Argentina,Sudamericana,Lanús,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nahuel-losada/222418,74.0,74.0,72.0,70.0,69.0,M,nahuel losada,323918.0,Nahuel Losada,Club Atlético Lanús,2025.0,3000000,3500000,ok,False,,
Iker Losada,73,76,73,73,71,34,55,75,76,69.0,75.0,72,73.0,65.0,68,70,73.0,75.0,73,74,71.0,73.0,57,83,72,74,59,46.0,57.0,43.0,15.0,16.0,67,56,58,44,RM,3,3,Right,175,70,"LM, CAM, RW",23,Spain,LALIGA EA SPORTS,Real Betis,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/iker-losada/252865,,,,,,M,iker losada,632741.0,Iker Losada,Levante UD,2025.0,1800000,1800000,ok,False,,
Jonas Lössl,73,73,74,70,72,37,73,39,34,10.0,12.0,53,15.0,11.0,12,60,14.0,13.0,33,48,14.0,15.0,32,30,64,20,62,20.0,17.0,20.0,13.0,15.0,65,40,70,17,GK,2,1,Right,195,89,,35,Denmark,3F Superliga,FC Midtjylland,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonas-lossl/172553,73.0,74.0,70.0,73.0,72.0,M,jonas lossl,48870.0,Jonas Lössl,FC Midtjylland,2025.0,50000,5000000,ok,False,,
Sandi Lovrič,73,49,64,72,72,68,69,54,44,70.0,66.0,64,64.0,47.0,48,75,66.0,65.0,76,73,68.0,72.0,62,66,73,76,70,71.0,55.0,68.0,70.0,66.0,62,76,66,70,CDM,3,3,Right,180,75,CM,26,Slovenia,Serie A Enilive,Udinese,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandi-lovric/223866,,,,,,M,sandi lovric,268429.0,Sandi Lovrić,Hellas Verona,2025.0,3500000,10000000,ok,False,,
Fabio Lucioni,73,59,42,50,52,75,78,59,59,44.0,38.0,54,37.0,33.0,47,43,35.0,47.0,60,59,52.0,42.0,62,55,74,55,75,74.0,72.0,77.0,74.0,72.0,79,75,80,78,CB,3,2,Right,185,80,,36,Italy,Serie BKT,Palermo,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fabio-lucioni/204447,,,,,,M,fabio lucioni,160561.0,Fabio Lucioni,US Lecce,2019.0,600000,900000,ok,True,,
Jeison Lucumí,73,82,67,67,74,25,65,86,79,72.0,68.0,72,65.0,55.0,56,70,66.0,48.0,70,64,59.0,75.0,81,68,67,74,67,26.0,40.0,21.0,23.0,27.0,65,66,63,70,LM,3,4,Right,177,63,"RM, LW",29,Colombia,Sudamericana,Deportes Tolima,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jeison-lucumi/231571,,,,,,M,jeison lucumi,352567.0,Jeison Lucumí,Elche CF,2020.0,800000,1200000,ok,True,,
Gustav Ludwigson,73,88,69,63,70,30,80,88,88,75.0,74.0,64,66.0,67.0,56,70,61.0,42.0,68,54,59.0,70.0,80,71,73,66,65,33.0,62.0,28.0,24.0,19.0,85,89,77,75,LM,4,3,Right,182,75,"LW, RW",30,Sweden,K League 1,Ulsan Hyundai,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gustav-ludwigson/256370,,,,,,M,gustav ludwigson,558269.0,Gustav Ludwigson,Foundation Coorperation Hana Financial Group Inc. Football Club,2025.0,750000,1500000,ok,False,,
Massimo Luongo,73,59,67,67,71,70,77,60,58,68.0,64.0,75,70.0,59.0,52,69,60.0,50.0,73,70,50.0,69.0,73,76,72,74,70,69.0,60.0,72.0,73.0,70.0,73,75,79,74,CDM,3,2,Right,176,76,,31,Australia,Premier League,Ipswich,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/massimo-luongo/205347,,,,,,M,massimo luongo,181687.0,Massimo Luongo,Ipswich Town,2024.0,350000,5000000,ok,True,,
Charalampos Lykogiannis,73,77,70,71,66,69,71,71,82,64.0,62.0,84,78.0,68.0,58,58,79.0,81.0,72,71,82.0,69.0,40,47,66,74,64,70.0,64.0,68.0,71.0,69.0,79,65,79,56,LB,3,2,Left,190,87,LM,30,Greece,Serie A Enilive,Bologna,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/charalampos-lykogiannis/210381,,,,,,M,charalampos lykogiannis,136514.0,Charalampos Lykogiannis,Bologna Football Club 1909,2025.0,1200000,2500000,ok,False,,
Antoine Makoumbou,73,72,59,67,76,68,78,74,70,56.0,57.0,71,56.0,45.0,52,67,57.0,48.0,74,68,64.0,77.0,80,73,70,76,75,72.0,59.0,65.0,71.0,67.0,75,89,74,73,CDM,3,3,Right,187,80,CM,26,Congo,Serie A Enilive,Cagliari,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antoine-makoumbou/270597,,,,,,M,antoine makoumbou,460651.0,Antoine Makoumbou,Samsunspor,2025.0,4000000,4500000,ok,False,,
Lennard Maloney,73,64,44,56,60,75,86,55,71,40.0,42.0,49,45.0,39.0,46,45,48.0,42.0,67,63,44.0,59.0,56,61,69,60,67,76.0,70.0,74.0,75.0,76.0,77,90,84,87,CDM,2,2,Right,187,88,CM,24,United States,Bundesliga,Heidenheim,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lennard-maloney/240669,,,,,,M,lennard maloney,392710.0,Lennard Maloney,1.FSV Mainz 05,2025.0,2500000,5000000,ok,False,,
Aleš Mandous,73,72,72,77,74,19,73,20,18,,,58,,,13,41,11.0,13.0,33,35,12.0,19.0,21,33,66,30,33,13.0,13.0,,12.0,11.0,60,25,73,23,GK,3,1,Left,188,85,,32,Czech Republic,Česká Liga,Slavia Praha,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ales-mandous/263286,72.0,72.0,77.0,73.0,74.0,M,ales mandous,240536.0,Ales Mandous,FK Mlada Boleslav,2025.0,250000,2500000,ok,False,,
Matías Mansilla,73,70,71,68,75,25,76,30,17,,,51,,,11,28,14.0,14.0,18,24,14.0,10.0,36,36,69,19,37,,11.0,,10.0,13.0,65,22,78,21,GK,3,1,Right,191,92,,28,Argentina,Libertadores,Estudiantes,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matias-mansilla/263204,70.0,71.0,68.0,76.0,75.0,M,matias mansilla,731722.0,Matías Mansilla,Club Atlético Unión,2025.0,2500000,3500000,ok,False,,
Braydon Manu,73,86,66,63,76,37,70,92,81,71.0,69.0,70,56.0,61.0,54,66,62.0,37.0,68,61,47.0,75.0,88,90,68,74,69,35.0,48.0,31.0,42.0,33.0,74,70,69,69,RM,4,4,Right,170,70,"ST, RW",27,Ghana,Eredivisie,PEC Zwolle,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/braydon-manu/239397,,,,,,M,braydon manu,231590.0,Braydon Manu,PEC Zwolle,2025.0,300000,1500000,ok,False,,
Faitout Maouassa,73,76,64,71,74,70,74,78,74,67.0,59.0,76,70.0,53.0,44,69,75.0,67.0,71,69,75.0,73.0,78,85,70,73,72,66.0,61.0,72.0,72.0,72.0,79,71,75,72,LB,2,3,Left,170,77,LM,26,France,1A Pro League,Club Brugge,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/faitout-maouassa/230043,,,,,,M,faitout maouassa,357072.0,Faitout Maouassa,Granada CF,2023.0,4000000,13000000,ok,True,,
Roger Martí,73,72,73,62,73,42,70,71,73,77.0,71.0,75,72.0,76.0,80,61,59.0,56.0,68,59,54.0,73.0,71,73,75,72,79,35.0,69.0,42.0,38.0,40.0,77,69,71,69,ST,3,3,Right,179,74,,33,Spain,LALIGA HYPERMOTION,Cádiz CF,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/roger-marti/207732,,,,,,M,roger marti,212391.0,Roger Martí,Cádiz CF,2023.0,1200000,10000000,ok,True,,
Juan Carlos,73,72,73,72,73,59,71,58,61,11.0,14.0,54,15.0,15.0,30,42,31.0,12.0,25,27,30.0,13.0,56,57,67,22,53,21.0,19.0,25.0,20.0,21.0,73,42,71,13,GK,3,1,Right,186,85,,36,Spain,LALIGA EA SPORTS,Girona FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-carlos/194730,72.0,73.0,72.0,71.0,73.0,M,juan carlos,120705.0,Juan Carlos,Girona FC,2025.0,100000,1000000,ok,False,,
Emiliano Martínez,73,73,56,63,71,71,70,69,77,65.0,56.0,55,60.0,38.0,61,68,43.0,44.0,74,72,32.0,68.0,72,76,68,73,72,75.0,60.0,72.0,73.0,68.0,70,78,66,68,CDM,3,2,Right,184,64,CM,25,Uruguay,3F Superliga,FC Midtjylland,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emiliano-martinez/255340,,,,,,M,emiliano martinez,707447.0,Emiliano Martínez,Sociedade Esportiva Palmeiras,2025.0,6500000,9000000,ok,False,,
Roger Martínez,73,73,73,66,76,41,78,79,68,75.0,73.0,77,73.0,64.0,68,62,62.0,57.0,70,68,68.0,76.0,77,80,72,75,74,31.0,65.0,40.0,40.0,38.0,84,75,81,73,ST,4,3,Right,180,89,LM,30,Colombia,Sudamericana,Racing Club,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/roger-martinez/219797,,,,,,M,roger martinez,285771.0,Roger Martínez,Al-Taawoun Football Club,2025.0,1500000,5000000,ok,False,,
Erhan Mašović,73,61,33,49,56,75,69,64,58,23.0,35.0,42,26.0,28.0,31,48,22.0,24.0,68,60,27.0,49.0,56,55,67,62,67,73.0,73.0,76.0,77.0,75.0,78,59,73,70,CB,3,2,Right,189,82,CDM,25,Serbia,Bundesliga,VfL Bochum 1848,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erhan-masovic/238473,,,,,,M,erhan masovic,343959.0,Erhan Masovic,VfL Bochum,2024.0,1500000,8000000,ok,True,,
Mata,73,61,72,63,70,38,72,55,65,78.0,70.0,79,69.0,73.0,76,66,64.0,53.0,67,53,56.0,72.0,61,35,78,74,76,29.0,73.0,34.0,38.0,32.0,76,63,74,79,ST,3,3,Right,185,79,LM,35,Spain,LALIGA EA SPORTS,UD Las Palmas,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mata/223578,,,,,,M,mata,,,,,,,non_trouve,False,,
Magnus Mattsson,73,67,70,70,76,39,62,72,62,70.0,73.0,68,67.0,59.0,66,75,67.0,68.0,70,65,69.0,76.0,80,76,71,77,75,35.0,31.0,42.0,42.0,38.0,59,83,52,62,CAM,4,3,Right,174,63,"CM, LW",25,Denmark,3F Superliga,F.C. København,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/magnus-mattsson/240974,,,,,,M,magnus mattsson,489929.0,Magnus Mattsson,FC Copenhagen,2025.0,4000000,4000000,ok,False,,
Luca Mazzitelli,73,40,62,75,71,64,68,44,36,59.0,54.0,74,72.0,65.0,52,75,70.0,63.0,79,79,69.0,70.0,58,67,72,76,71,71.0,55.0,55.0,70.0,68.0,59,65,67,74,CM,4,3,Right,187,76,CDM,28,Italy,Serie A Enilive,Como,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-mazzitelli/221331,,,,,,M,luca mazzitelli,226025.0,Luca Mazzitelli,Cagliari Calcio,2025.0,1200000,4000000,ok,False,,
Oli McBurnie,73,54,72,58,68,34,81,54,54,76.0,74.0,79,59.0,72.0,65,66,40.0,36.0,69,57,42.0,68.0,51,54,72,76,72,28.0,76.0,32.0,29.0,20.0,83,72,84,82,ST,3,3,Right,191,77,,28,Scotland,LALIGA EA SPORTS,UD Las Palmas,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/oli-mc-burnie/220031,,,,,,M,oli mcburnie,298477.0,Oli McBurnie,UD Las Palmas,2024.0,2500000,15000000,ok,True,,
Gary Medel,73,51,50,62,68,72,73,50,51,58.0,37.0,65,59.0,58.0,58,65,50.0,45.0,72,66,35.0,63.0,72,90,79,67,78,75.0,64.0,72.0,74.0,72.0,68,65,73,85,CB,4,3,Right,171,76,CDM,37,Chile,Sudamericana,Boca Juniors,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gary-medel/193532,,,,,,M,gary medel,60889.0,Gary Medel,Bologna Football Club 1909,2022.0,800000,13000000,ok,True,,
Björn Meijer,73,70,62,68,67,70,82,64,75,64.0,58.0,79,65.0,34.0,38,65,74.0,66.0,67,69,68.0,67.0,65,57,65,70,68,72.0,73.0,72.0,67.0,68.0,85,80,89,65,LB,3,3,Left,190,74,LM,21,Holland,1A Pro League,Club Brugge,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bjorn-meijer/262219,,,,,,M,bjorn meijer,594227.0,Bjorn Meijer,Club Brugge KV,2025.0,3000000,10000000,ok,False,,
Bamo Meïté,73,54,33,47,58,75,70,46,60,33.0,26.0,54,28.0,28.0,42,35,34.0,28.0,66,43,43.0,57.0,35,60,69,65,55,71.0,73.0,75.0,79.0,75.0,69,65,69,78,CB,3,2,Right,183,75,,22,Côte d'Ivoire,Ligue 1 McDonald's,OM,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bamo-meite/264401,,,,,,M,bamo meite,807165.0,Bamo Meïté,FC Lorient,2025.0,7000000,7000000,ok,False,,
Santiago Mele,73,75,70,68,76,50,68,53,46,,,51,,,30,51,13.0,20.0,30,25,25.0,22.0,58,48,71,30,31,21.0,11.0,22.0,21.0,20.0,57,40,47,33,GK,2,1,Right,184,79,,27,Uruguay,Libertadores,Junior,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/santiago-mele/259259,75.0,70.0,68.0,68.0,76.0,M,santiago mele,320739.0,Santiago Mele,CF Monterrey,2025.0,2000000,2500000,ok,False,,
Melero,73,51,71,72,69,70,73,50,51,76.0,69.0,75,70.0,71.0,76,74,63.0,67.0,76,72,68.0,69.0,59,63,71,72,71,72.0,73.0,66.0,72.0,68.0,76,68,77,68,CM,3,3,Right,183,77,"CAM, CDM",30,Spain,LALIGA HYPERMOTION,UD Almería,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/melero/227508,,,,,,M,melero,,,,,,,non_trouve,False,,
Lorenzo Melgarejo,73,83,72,65,76,56,69,82,83,73.0,73.0,79,64.0,70.0,65,64,70.0,45.0,65,63,75.0,77.0,78,77,66,75,75,57.0,75.0,41.0,62.0,62.0,83,76,65,65,ST,3,4,Left,178,75,LM,34,Paraguay,Libertadores,Libertad,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lorenzo-melgarejo/204699,,,,,,M,lorenzo melgarejo,127822.0,Lorenzo Melgarejo,FK Spartak Moskva,2019.0,1500000,7000000,ok,True,,
Birger Meling,73,79,55,68,72,69,66,80,79,69.0,54.0,64,53.0,33.0,39,68,69.0,55.0,70,69,63.0,69.0,83,85,71,70,72,71.0,55.0,71.0,69.0,68.0,66,84,53,75,LB,3,3,Left,173,67,,29,Norway,3F Superliga,F.C. København,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/birger-meling/219466,,,,,,M,birger meling,282250.0,Birger Meling,FC Copenhagen,2025.0,900000,7000000,ok,False,,
Jubal,73,46,39,46,56,73,76,39,51,30.0,41.0,45,25.0,30.0,63,32,30.0,27.0,68,45,36.0,51.0,53,52,71,63,57,72.0,74.0,73.0,73.0,72.0,74,66,82,75,CB,2,2,Right,190,80,,31,Brazil,Ligue 1 McDonald's,AJ Auxerre,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jubal/217565,,,,,,M,jubal,149928.0,Jubal,FK Krasnodar,2025.0,1500000,2500000,ok,False,,
João Mendes,73,70,72,72,73,57,70,68,72,74.0,69.0,81,71.0,73.0,61,76,69.0,48.0,75,73,63.0,74.0,64,62,75,76,68,63.0,48.0,51.0,61.0,58.0,66,74,74,57,LW,3,3,Right,183,76,"CM, CAM, LM",29,Portugal,Liga Portugal,Vitória SC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-mendes/244416,,,,,,M,joao mendes,684348.0,João Mendes,Vitória Guimarães SC,2025.0,2500000,3000000,ok,False,,
Batista Mendy,73,62,58,66,68,73,80,54,68,53.0,48.0,74,64.0,58.0,56,61,58.0,42.0,74,70,64.0,67.0,60,48,73,72,75,70.0,72.0,72.0,76.0,71.0,81,74,87,69,CDM,3,2,Right,191,82,"CM, CB",24,France,Trendyol Süper Lig,Trabzonspor,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/batista-mendy/244114,,,,,,M,batista mendy,395234.0,Batista Mendy,Sevilla FC,2025.0,7500000,10000000,ok,False,,
Alexandre Mendy,73,72,73,52,66,25,82,71,73,74.0,77.0,76,64.0,64.0,75,52,35.0,50.0,66,43,60.0,63.0,72,57,68,69,68,29.0,76.0,16.0,17.0,17.0,92,77,90,64,ST,3,2,Right,184,84,,30,Guinea-Bissau,Ligue 2 BKT,SM Caen,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexandre-mendy/223510,,,,,,M,alexandre mendy,290561.0,Alexandre Mendy,FC Girondins Bordeaux,2020.0,3500000,3500000,ok,True,,
Max Meyer,73,62,66,75,75,62,63,74,53,76.0,67.0,68,60.0,60.0,70,78,73.0,76.0,76,73,78.0,73.0,81,86,72,75,77,64.0,37.0,69.0,62.0,61.0,57,70,58,69,CAM,4,4,Right,173,68,CM,28,Germany,Liga Cyprus,APOEL FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/max-meyer/212150,,,,,,M,max meyer,146164.0,Max Meyer,Fenerbahce,2021.0,3000000,20000000,ok,True,,
Matt Miazga,73,46,26,47,57,73,78,50,43,27.0,18.0,35,32.0,34.0,31,32,25.0,21.0,67,62,27.0,51.0,54,36,70,66,71,75.0,74.0,72.0,72.0,71.0,79,67,84,77,CB,3,2,Right,193,84,,29,United States,MLS,FC Cincinnati,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matt-miazga/215565,,,,,,M,matt miazga,245893.0,Matt Miazga,Football Club Cincinnati,2025.0,1800000,3000000,ok,False,,
Fredrik Midtsjø,73,76,59,72,71,68,78,75,76,66.0,50.0,73,66.0,60.0,51,75,71.0,55.0,75,72,66.0,68.0,71,82,79,72,79,73.0,58.0,75.0,65.0,60.0,75,83,75,78,CM,3,3,Right,175,68,CDM,31,Norway,Trendyol Süper Lig,Eyüpspor,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fredrik-midtsj/198658,,,,,,M,fredrik midtsj,136180.0,Fredrik Midtsjø,Eyüpspor,2024.0,900000,10000000,ok,True,,
Salvador Agra,73,85,69,69,74,58,68,87,84,68.0,66.0,75,70.0,63.0,67,72,68.0,70.0,70,66,70.0,74.0,90,90,64,70,65,63.0,32.0,62.0,59.0,55.0,63,73,63,75,RM,4,3,Right,166,69,"RB, LM, RW",32,Portugal,Liga Portugal,Boavista FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/salvador-agra/204737,,,,,,M,salvador agra,155395.0,Salvador Agra,Boavista FC,2024.0,150000,3000000,ok,True,,
Pere Milla,73,73,73,70,73,51,66,74,72,74.0,73.0,75,72.0,64.0,72,68,72.0,65.0,73,64,66.0,73.0,75,64,72,74,65,54.0,74.0,45.0,54.0,34.0,77,81,60,60,ST,3,3,Left,184,72,"LM, LB",31,Spain,LALIGA EA SPORTS,RCD Espanyol,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pere-milla/225926,,,,,,M,pere milla,225593.0,Pere Milla,RCD Espanyol Barcelona,2025.0,1000000,3000000,ok,False,,
Alexandru Mitriță,73,86,72,68,77,26,60,89,83,68.0,74.0,75,70.0,65.0,61,70,65.0,72.0,70,60,74.0,75.0,92,91,67,75,67,22.0,31.0,32.0,21.0,27.0,60,72,55,57,LM,5,3,Right,165,68,"LW, CAM",29,Romania,SUPERLIGA,Univ. Craiova,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexandru-mitrita/229804,,,,,,M,alexandru mitrita,209649.0,Alexandru Mitriță,,2025.0,3500000,7000000,ok,False,,
Filip Mladenović,73,85,67,70,69,65,66,85,85,65.0,67.0,69,68.0,59.0,62,67,74.0,68.0,70,66,73.0,67.0,82,71,69,69,66,67.0,58.0,66.0,66.0,63.0,72,84,56,68,LB,3,3,Left,180,64,,33,Serbia,Hellas Liga,Panathinaikos,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/filip-mladenovic/221969,,,,,,M,filip mladenovic,168063.0,Filip Mladenovic,Fatih Karagümrük,2025.0,300000,3000000,ok,False,,
Jakub Moder,73,61,70,74,72,70,71,55,66,71.0,66.0,82,74.0,53.0,67,74,70.0,71.0,77,73,70.0,72.0,65,61,74,75,74,71.0,60.0,70.0,75.0,67.0,69,65,74,70,CM,5,3,Right,188,78,"CDM, CAM",25,Poland,Premier League,Brighton,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jakub-moder/239778,,,,,,M,jakub moder,384461.0,Jakub Moder,Feyenoord Rotterdam,2025.0,10000000,12000000,ok,False,,
Florent Mollet,73,66,72,77,75,51,63,69,63,66.0,68.0,80,77.0,71.0,69,76,78.0,81.0,76,75,77.0,73.0,76,89,71,76,73,50.0,41.0,53.0,54.0,44.0,54,79,55,67,CAM,4,3,Right,174,68,"CM, RM",32,France,Ligue 1 McDonald's,FC Nantes,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florent-mollet/209288,,,,,,M,florent mollet,222859.0,Florent Mollet,Football Club Lausanne-Sport,2025.0,300000,9000000,ok,False,,
Gonzalo Montes,73,70,67,68,71,64,66,70,70,67.0,67.0,68,72.0,40.0,60,72,50.0,67.0,75,76,59.0,73.0,58,68,68,76,64,60.0,55.0,61.0,71.0,64.0,69,77,70,42,CM,3,2,Right,173,76,CDM,29,Uruguay,Libertadores,Huachipato,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gonzalo-montes/257211,,,,,,M,gonzalo montes,402733.0,,Club Atlético River Plate,2025.0,4500000,17000000,ok_approximatif,False,Gonzalo Montiel,89.65517241379311
Santiago Montiel,73,88,62,70,74,65,66,83,92,71.0,60.0,67,64.0,47.0,66,71,71.0,67.0,68,70,69.0,72.0,89,89,66,73,69,65.0,47.0,61.0,72.0,69.0,74,77,59,67,LM,3,2,Left,166,60,"LB, CM, LW",23,Argentina,Primera División,Independiente,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/santiago-montiel/255925,,,,,,M,santiago montiel,974336.0,Santiago Montiel,Club Atlético Independiente de Avellaneda,2025.0,3800000,4000000,ok,False,,
Emre Mor,73,88,65,65,81,38,57,92,84,65.0,63.0,69,68.0,68.0,56,65,63.0,63.0,67,62,73.0,84.0,92,93,66,76,69,35.0,46.0,40.0,36.0,33.0,62,66,47,68,RM,3,4,Left,169,60,"LM, CAM, RW",27,Turkey,Trendyol Süper Lig,Fenerbahçe,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emre-mor/231240,,,,,,M,emre mor,283223.0,Emre Mor,Fenerbahce,2025.0,500000,5000000,ok,False,,
Maxi Moralez,73,59,68,73,76,52,49,67,53,75.0,68.0,67,68.0,69.0,60,76,72.0,69.0,74,70,76.0,75.0,75,81,73,76,75,44.0,56.0,48.0,59.0,52.0,43,69,33,65,CAM,4,4,Right,159,54,"CM, CDM",37,Argentina,MLS,New York City FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maxi-moralez/183895,,,,,,M,maxi moralez,30687.0,Maxi Moralez,New York City Football Club,2025.0,100000,6000000,ok,False,,
Tete Morente,73,80,70,72,72,44,69,83,77,62.0,70.0,74,68.0,67.0,65,64,72.0,69.0,77,70,75.0,75.0,82,55,61,71,61,48.0,59.0,51.0,35.0,31.0,77,71,70,60,LM,3,3,Right,184,78,"RM, LW",27,Spain,Serie A Enilive,Lecce,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tete-morente/239671,,,,,,M,tete morente,339816.0,Tete Morente,US Lecce,2025.0,1800000,3000000,ok,False,,
Lewis Morgan,73,82,74,71,75,55,68,82,82,77.0,76.0,76,68.0,66.0,73,68,76.0,72.0,72,63,75.0,74.0,81,76,72,75,70,54.0,60.0,43.0,64.0,61.0,83,80,62,62,ST,5,3,Left,178,75,"LM, CAM",27,Scotland,MLS,Red Bulls,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lewis-morgan/221908,,,,,,M,lewis morgan,311351.0,Lewis Morgan,San Diego Football Club,2025.0,1000000,6000000,ok,False,,
Anthony Moris,73,74,70,79,75,47,71,46,48,16.0,11.0,59,15.0,12.0,27,65,20.0,14.0,46,62,16.0,16.0,46,49,69,34,36,17.0,19.0,21.0,14.0,19.0,67,31,69,24,GK,3,1,Left,186,79,,34,Luxembourg,1A Pro League,R. Union St.-G.,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anthony-moris/184167,74.0,70.0,79.0,71.0,75.0,M,anthony moris,78570.0,Anthony Moris,Al-Khaleej Club (Saihat),2025.0,1200000,2000000,ok,False,,
Aidan Morris,73,73,53,61,69,69,81,69,77,58.0,52.0,63,49.0,43.0,50,64,37.0,48.0,74,67,52.0,67.0,72,78,70,70,69,69.0,61.0,68.0,74.0,68.0,78,80,82,79,CDM,4,2,Right,178,72,CM,22,United States,EFL Championship,Middlesbrough,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aidan-morris/255145,,,,,,M,aidan morris,513968.0,Aidan Morris,Middlesbrough FC,2025.0,10000000,10000000,ok,False,,
Gabriel Moscardo,73,70,52,62,70,71,78,72,68,55.0,48.0,64,55.0,39.0,45,59,47.0,39.0,72,70,55.0,70.0,68,63,64,74,70,71.0,63.0,68.0,76.0,74.0,87,73,80,77,CDM,3,3,Right,185,73,CM,18,Brazil,Ligue 1 McDonald's,Stade de Reims,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel-moscardo/279731,,,,,,M,gabriel moscardo,1086636.0,Gabriel Moscardo,SC Braga,2025.0,7000000,15000000,ok,False,,
